Modelname	tag	Guideexist	QMRFexist	QMRFlink	Guid	Description	Description(long)	GuideUrl	Unit(original)	Unit(original) (#1)	Unit	UnitName	UnitFamily	Lambda	Classes	ClassesGUID	Endpoint location1	Endpoint location2	Endpoint location3	Endpoint	Endpoint comment	Test type	Duration(value)	Duration(unit)	Duration(Original)	Effect	Kingdom	Phylum	Class	Test organisms (species)	Sex	Route of administration	Organ	Strain	Metabolic activation	Type of method	Assay provider	Test guideline	Reference	Reference Link	R2(Train)	RMSE(Train)	Q2(Train)	Fisher(Train)	S(Train)	R2(Invisible training)	RMSE(Invisible training)	Q2(Invisible training)	Fisher(Invisible training)	S(Invisible training)	R2(Calibration)	RMSE(Calibration)	Q2(Calibration)	Fisher(Calibration)	S(calibration)	R2(Test)	RMSE(Test)	Fisher(Test)	S(Test)	Accuracy(Train)	Specificity(Train)	Sensitivity(Train)	Accuracy(Internal Valid)	Specificity(Internal Valid)	Sensitivity(Internal Valid)	Accuracy(Test)	Specificity(Test)	Sensitivity(Test)
Mutagenicity (Ames test) model (CAESAR)	muta_caesar	x	x	QMRF_MutaAmes_CAESAR.pdf	a512b358-2de2-44e5-bc50-279d760668d9	QSAR classification model for Mutagenicity (from CAESAR project)	QSAR classification model for Mutagenicity based on a Support Vector Machine combined by a set of ToxTree rules developed by Benigni/Bossa. The model extends the original CAESAR Mutagenicity model 1.0 developed by Politecnico di Milano, Italy. Reference to the original model are found on the CAESAR Project website: http://www.caesar-project.eu/ .	VEGA_model_guide_MUTA_2_1_13.pdf	null	no unit	no unit	no unit	Mutagenicity		NON-Mutagenic;Mutagenic;Suspect Mutagenic;Not classifiable	7c7e4c93-66c1-48bf-9de0-53548592fa18	Human Health Hazards	Genetic Toxicity		Gene Mutation	Mutagenic toxicity is the capacity of a substance to cause genetic mutations. The Ames test is the basic in vitro assay to detect mutagens.	Bacterial Reverse Mutation Assay (e.g. Ames Test)	48	h	48-72	Mutation	Bacteria	Proteobacteria	Gammaproteobacteria	Salmonella typhimurium				1. S. typhimurium TA1535, and 2. S. typhimurium TA1537 or TA97 or TA97a, 3. S. typhimurium TA98, and 4. S. typhimurium TA100, and 5. S. typhimurium TA102	With S9	In Vitro	Bursi Mutagenicity Dataset has been used. It is a large data set, containing 4337 molecular structures with the relative Ames test results	OECD 471 - Bacterial Reverse Mutation Test	Ferrari T, Gini G (2010); An open source multistep model to predict mutagenicity from statistical analysis and relevant structural alerts. Chemistry Central Journal , 4(Suppl 1):S2; http://www.journal.chemistrycentral.com/content/4/S1/S	doi:10.1186/1752-153X-4-S1-S2																				0.92	0.86	0.97				0.83	0.74	0.9
Mutagenicity (Ames test) model (SarPy/IRFMN)	muta_sarpy	x	x	QMRF_MUTA_SARpy.pdf	bc71c6b0-8688-4be0-a9ad-72173e966f1b	QSAR classification model for Mutagenicity (SarPy/IRFMN)	QSAR classification model for Mutagenicity based on a set of rules built with SarPy software. Developed by Istituto Mario Negri, Italy; SarPy software developed by Politecnico di Milano, Italy. Model developed inside the VEGA platform.	VEGA_model_guide_MUTA-Sarpy_1_0_7.pdf	null	no unit	no unit	no unit	Mutagenicity		NON-Mutagenic;Mutagenic;Possible NON-Mutagenic	7ebb0894-32d8-4d76-927a-fa42b2adb842	Human Health Hazards	Genetic Toxicity		Gene Mutation	Mutagenic toxicity is the capacity of a substance to cause genetic mutations. This property is of high public concern because it has a close relationship with carcinogenicity and eventually reproductive toxicity: most of the mutagenic substances are suspected carcinogenic substance in case a genotoxic mechanism is considered. The Ames test is the basic in vitro assay to detect mutagens.	Bacterial Reverse Mutation Assay (e.g. Ames Test)	48	h	48-72	Mutation	Bacteria	Proteobacteria	Gammaproteobacteria	Salmonella typhimurium				1. S. typhimurium TA1535, and 2. S. typhimurium TA1537 or TA97 or TA97a, 3. S. typhimurium TA98, and 4. S. typhimurium TA100, and 5. S. typhimurium TA103	With S9	In Vitro	Bursi Mutagenicity Dataset has been used. It is a large data set, containing 4337 molecular structures with the relative Ames test results	OECD 471 - Bacterial Reverse Mutation Test	T. Ferrari, D. Cattaneo, G. Gini, N. Golbamaki Bakhtyari, A. Manganaro, E. Benfenati, Automatic knowledge extraction from chemical structures: the case of mutagenicity prediction, SAR and QSAR in Environmental Research (2013), vol. 24 issue 5, 365-83. Ferrari T, Gini G (2010) An open source multistep model to predict mutagenicity from statistical analysis and relevant structural alerts. Chemistry Central Journal, 4(Suppl 1):S2 http://www.journal.chemistrycentral.com/content/4/S1/S2	doi:10.1080/1062936X.2013.773376 doi:10.1186/1752-153X-4-S1-S2																				0.82	0.77	0.86				0.81	0.76	0.86
Mutagenicity (Ames test) model (ISS)	muta_iss	x	x	QMRF_Muta_ISS.pdf	f7625153-5f7f-4e42-bce7-0d2d8b475a5c	Classification model for Mutagenicity (Ames test) based on Benigni-Bossa (Istituto Superiore di SanitÃƒÂ ) rule set	Classification model for Mutagenicity (Ames test) based on Benigni-Bossa (Istituto Superiore di SanitÃƒÂ ) rule set as implemented in ToxTree 2.6.	VEGA_model_guide_MUTA-BB_1_0_2.pdf	null	no unit	no unit	no unit	Mutagenicity		NON-Mutagenic;Mutagenic;Not classifiable	89985344-a937-4bda-bad8-aaf42b08fafa	Human Health Hazards	Genetic Toxicity		Gene Mutation	Mutagenic toxicity is the capacity of a substance to cause genetic mutations. The Ames test is the basic in vitro assay to detect mutagens.	Bacterial Reverse Mutation Assay (e.g. Ames Test)	48	h	48-72	Mutation	Bacteria	Proteobacteria	Gammaproteobacteria	Salmonella typhimurium				1. S. typhimurium TA1535, and 2. S. typhimurium TA1537 or TA97 or TA97a, 3. S. typhimurium TA98, and 4. S. typhimurium TA100, and 5. S. typhimurium TA104	With S9	In Vitro		OECD 471 - Bacterial Reverse Mutation Test	The Benigni / Bossa rulebase for mutagenicity and carcinogenicity - a module of Toxtree, (2008) by R. Benigni, C. Bossa, N. Jeliazkova, T. Netzeva, and A. Worth. European Commission report EUR 23241 EN. R. Benigni, C. Bossa, T. Netzeva, A. Rodomonte, and I. Tsakovska (2007) Mechanistic QSAR of aromatic amines: new models for discriminating between mutagens and nonmutagens, and validation of models for carcinogens. Environ mol mutag 48:754-771	https://doi.org/10.1002/em.20355																				0.79	0.68	0.89						
Mutagenicity (Ames test) model (KNN/Read-Across)	muta_knn	x	x	QMRF_KNN_Muta.pdf	5bf56beb-ac1c-46ab-a7c3-bbc873ae7713	KNN (Read-Across) model for Mutagenicity (Ames test)	KNN (Read-Across) model for Mutagenicity (Ames test) developed by Istituto di Ricerche Farmacologiche Mario Negri.	VEGA_model_guide_MUTA-ReadAcross_1_0_0.pdf	null	no unit	no unit	no unit	Mutagenicity		NON-Mutagenic;Mutagenic;Non Predicted	8f3c4746-591b-4ccb-9598-02a8639b8f63	Human Health Hazards	Genetic Toxicity		Carcinogenicity	Mutagenic toxicity is the capacity of a substance to cause genetic mutations. This property is of high public concern because it has a close relationship with carcinogenicity and eventually reproductive toxicity: most of the mutagenic substances are suspected carcinogenic substance in case a genotoxic mechanism is considered. The Ames test is the basic in vitro assay to detect mutagens.	Bacterial Reverse Mutation Assay (e.g. Ames Test)	48	h	48-72	Mutation	Bacteria	Proteobacteria	Gammaproteobacteria	Salmonella typhimurium				1. S. typhimurium TA1535, and 2. S. typhimurium TA1537 or TA97 or TA97a, 3. S. typhimurium TA98, and 4. S. typhimurium TA100, and 5. S. typhimurium TA104	With S9	In Vitro		OECD 471 - Bacterial Reverse Mutation Test	N/A	N/A																							0.8	0.76	0.83			
Carcinogenicity model (CAESAR)	carc_caesar	x	x	QMRF_CARC_CAESAR.pdf	d421de25-bce9-4c7e-a5e9-bd740b7519c3	QSAR classification model for Carcinogenicity (from CAESAR project)	QSAR classification model for Carcinogenicity based on a Neural Network. Developed by Kemijski inÃ…Â¡titut Ljubljana, Slovenija. The model extends the original CAESAR Carcinogenicity model 1.0 (http://www.caesar-project.eu/). Results are given as membership function values of class Positive and Non-Positive, compound is assigned to the class having value >0.5. Furthermore, structural alerts from ToxTree are searched, providing useful additional information.	VEGA_model_guide_CARC_2_1_9.pdf	null	no unit	no unit	no unit	Carcinogenicity		NON-Carcinogen;Carcinogen;Not predicted	338b1f08-f7ad-41c0-918e-8c67b9b14a4a	Human Health Hazards	Carcinogenicity		Carcinogenicity																																								0.87	0.86	0.89				0.67	0.61	0.71
Carcinogenicity model (ISS)	carc_iss	x	x	QMRF_CARC_ISS.pdf	399c86bc-67a1-4993-a508-4e0aaa893fce	Classification model for Carcinogenicity based on Benigni-Bossa (Istituto Superiore di SanitÃƒÂ ) rule set	Classification model for Carcinogenicity based on Benigni-Bossa (Istituto Superiore di SanitÃƒÂ ) rule set as implemented in ToxTree 2.6.	VEGA_model_guide_CARC-BB_1_0_2.pdf	null	no unit	no unit	no unit	Carcinogenicity		NON-Carcinogen;Carcinogen;Not predicted	bff22883-5f4c-437c-96a2-380ac35f928a	Human Health Hazards	Carcinogenicity		Carcinogenicity	qualitative prediction of carcinogenicity according to the rules of Benigni-Bossa implemented in ToxTree															expert judgement																								0.76	0.58	0.81						
Carcinogenicity model (IRFMN/Antares)	carc_antares	x	x	QMRF_CARC_ANTARES.pdf	9ca945d3-307f-4f54-9593-c1810b4d859f	QSAR classification model for Carcinogenicity (IRFMN/Antares) based on the Antares dataset	QSAR classification model for Carcinogenicity based on a set of rules built with SarPy software extracted from the Antares dataset. Developed by Istituto Mario Negri, Italy; SarPy software developed by Politecnico di Milano, Italy. Model developed inside the VEGA platform.	VEGA_model_guide_CARC-Antares_1_0_0.pdf	null	no unit	no unit	no unit	Carcinogenicity		NON-Carcinogen;Carcinogen;Possible NON-Carcinogen	5250c086-ec8a-4659-81ed-51dda81b398d	Human Health Hazards	Carcinogenicity		Carcinogenicity	qualitative prediction of carcinogenicity (presence of carcinogenic effects in male or female rats)	presence of carcinogenic effects in male or female rats					Animalia (animals)	Chordata (chordates)	Mammalia (mammals)	Rattus spp (rats)	male and female					expert judgement			Golbamaki, A., Benfenati, E., Golbamaki, N., Manganaro, A., Merdivan, E., Roncaglioni, A., Gini, G., 2016. New clues on carcinogenicity-related substructures derived from mining two large datasets of chemical compounds. J Environ Sci Health C Environ Carcinog Ecotoxicol Rev 34, 97-113.	https://doi.org/10.1080/10590501.2016.1166879																				0.66	0.48	0.82						
Carcinogenicity model (IRFMN/ISSCAN-CGX)	carc_isscan	x	x	QMRF_CARC_ISSCAN.pdf	48a4db8f-5a21-45ca-af9b-c0d6e25e9a29	QSAR classification model for Carcinogenicity (IRFMN/ISSCAN-CGX) based on the ISSCAN-CGX dataset	QSAR classification model for Carcinogenicity based on a set of rules built with SarPy software extracted from the ISSCAN-CGX dataset. Developed by Istituto Mario Negri, Italy; SarPy software developed by Politecnico di Milano, Italy. Model developed inside the VEGA platform.	VEGA_model_guide_CARC-Isscancgx_1_0_0.pdf	null	no unit	no unit	no unit	Carcinogenicity		NON-Carcinogen;Carcinogen;Possible NON-Carcinogen	0cf8c3a1-bdba-4704-a8e0-3becef770949	Human Health Hazards	Carcinogenicity		Carcinogenicity	qualitative prediction of carcinogenicity (expert assessment based on carcinogenic effects in different species).	expert assessment based on carcinogenic effects in different species					Animalia (animals)	Chordata (chordates)	Mammalia (mammals)							expert judgement			Golbamaki, A., Benfenati, E., Golbamaki, N., Manganaro, A., Merdivan, E., Roncaglioni, A., Gini, G., 2016. New clues on carcinogenicity-related substructures derived from mining two large datasets of chemical compounds. J Environ Sci Health C Environ Carcinog Ecotoxicol Rev 34, 97-113.	https://doi.org/10.1080/10590501.2016.1166879																				0.73	0.6	0.78						
Carcinogenicity oral classification model (IRFMN)	carc_sfoclass		x	QMRF_SFO_CLASS.pdf	7b9ddcd2-1728-4a42-a6f9-37f6a2612a45	Classification model for carcinogenicity (oral route).	Classification model for carcinogenicity (oral route), based on the data used for the Slope Factor model, developed by IRFMN.	VEGA_model_guide_CARC-SFOCLASS_1_0_0.pdf	null	no unit	no unit	no unit	Carcinogenicity		NON-Carcinogen;Carcinogen	ce5a059e-a337-4fa8-913f-b5a0164a5416	Human Health Hazards	Carcinogenicity		Carcinogenicity	qualitative prediction of carcinogenicity based on the definition of a Slope factor for the compounds as key parameter in the human risk assessment of contaminated site. SF is a measure of carcinogenic potency.	expert assessment based on carcinogenic effects in different species					Animalia (animals)	Chordata (chordates)	Mammalia (mammals)	Homo sapiens		oral				expert judgement																								0.81	0.79	0.82				0.76	0.76	0.76
Carcinogenicity oral Slope Factor model (IRFMN)	carc_sforegr		x	QMRF_SFO_REG.pdf	86672b10-d4a5-47f7-8ae9-1a985dd98b97	Quantitative model for the carcinogenicity (oral route) Slope Factor.	Quantitative model for the carcinogenicity (oral route) Slope Factor, developed by IRFMN.	VEGA_model_guide_CARC-SFOREGR_1_0_0.pdf	log(1/(mg/kg-day))	log(1/(mg/kg-day))	log(1/mg/kg/day)	mg/kg/d	Administered dose(amount of substance)			a3084e59-5960-4edb-9a35-f8e63d55fce7	Human Health Hazards	Carcinogenicity		Carcinogenicity	quantitative prediction of carcinogenicity potency as Slope factor	expert assessment based on carcinogenic effects in different species					Animalia (animals)	Chordata (chordates)	Mammalia (mammals)	Homo sapiens		oral				expert judgement					0.702															0.529												
